episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,loss/entropy,loss/policy,loss/value,step,time/elapsed_sec,time/fps
42,23.547619047619047,14.262355596995203,,,,,,,,,,1000,0.8845071792602539,1130.5730732862305
82,24.85,12.366337442488945,,,,,,,,,,2000,1.7362234592437744,1151.9254559958056
126,22.704545454545453,12.583851082656254,,,,,,,7.122914564609528,-0.062087789992801845,239.0234161376953,3000,2.8766701221466064,1042.8724436993712
169,23.53488372093023,17.16462896529529,,,,,,,,,,4000,3.708040952682495,1078.7367375504023
212,23.325581395348838,18.526520886686427,,,,,,,7.12290506362915,-0.05858490499667823,159.68009834289552,5000,4.820981740951538,1037.1331543382134
256,22.772727272727273,23.663238802650884,,,,,,,,,,6000,5.695968389511108,1053.3766323297639
297,23.682926829268293,22.192021369033082,,,,,,,7.11935738325119,-0.05852648525033146,152.3492063522339,7000,6.739396572113037,1038.668658996165
339,24.166666666666668,24.698790240047185,,,,,,,,,,8000,7.571279764175415,1056.624540259777
377,25.763157894736842,23.496302123737834,,,,,,,7.123644709587097,-0.06065107046160847,128.27738494873046,9000,8.646865129470825,1040.839641331469
416,26.564102564102566,26.332971561903808,,,,,,,,,,10000,9.497210502624512,1052.940755312999
453,26.37837837837838,23.895885637653112,,,,,,,7.121231091022492,-0.064633672113996,110.59134025573731,11000,10.57665729522705,1040.0261342460242
494,24.804878048780488,23.058473567811,,,,,,,,,,12000,11.420196056365967,1050.7700516499306
534,25.15,30.15952774051052,,,,,,,7.1080240368843075,-0.0625373640214093,81.65815677642823,13000,12.481762409210205,1041.519584638736
572,26.157894736842106,28.502943581671605,,,,,,,,,,14000,13.40928316116333,1044.05282756259
610,26.394736842105264,26.125099729035558,,,,,,,7.100816655158996,-0.06782979412237182,78.10256576538086,15000,14.463248491287231,1037.1114075123658
651,24.317073170731707,33.4110471292373,,,,,,,,,,16000,15.397500038146973,1039.129726277665
688,26.756756756756758,29.90972474724289,,,,,,,7.097553527355194,-0.05872320061316714,95.9776840209961,17000,16.303483247756958,1042.7219595750416
724,27.72222222222222,42.8776540130424,,,,,,,,,,18000,16.867964506149292,1067.11156485052
765,24.853658536585368,33.80215553209502,,,,,,,7.092866587638855,-0.06471331934444606,83.34038162231445,19000,17.80206322669983,1067.2920187983316
800,27.942857142857143,37.3634469895337,,,,,,,,,,20000,18.66009259223938,1071.8060428230608
839,25.41025641025641,39.43445550798875,,,,,,,7.08495706319809,-0.0679132895777002,87.88289432525634,21000,19.716627836227417,1065.0908550099277
